Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-30083,"0. Have a Contact A with Number *300
Have a Contact B with Number #800
Have a SIM card Inserted with SDNs available. (TIM SIM cards for example have SDN *222)

In case you are testing a Dual SIm model, please use both SIm cards with SDNs.","0. Go to Contacts and try to search for *30 and 30
1. Go to Contacts and try to search for #80 and 80
2. Go to Contacts and try to search for the SDN number (example *22 for TIM Meu Plano (*222))

Repeat for a SDN of the other SIM card (in case of Dual SIM Model)
3. Repeat above steps on Dialer Search instead of Contacts Search","0. Contact A should be found for both cases
1. Contact B should be found for both cases
2. SDN should be found on any SIM card
3. All contacts should be found accordingly to above expected results",PIM,Contact,"Contacts,Dialer,IME",BB8 CN_BR_Support FEATURE-3934 Latam_Reg common_validation_reg execute_local_network network_dependent network_leverage no_efficiency
MCA-3035438,"0. 2 or more 3rd party apps which uses camera access are installed on DUT (e.g., Whatsapp, Instagram, Snapchat)

Note: TC is applicable only for Android 12 NPI, upgrades will not support this feature according with https://idart.mot.com/browse/IKSWS-11460?focusedCommentId=11537022&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-11537022","0. Check camera access tile on Quick Settings

1. Tap on the camera access tile to block the camera for all apps

2. Open all 3rd party apps which uses camera access and try to use it

3. Choose ""Cancel"" and try to use the camera on the app

4. Check if there is an indicator of camera usage on status bar

5. Restart all apps and try to access the camera

6. Choose ""Unblock"" and try to use the camera on the app

7. Check if there is an indicator of camera usage on status bar","0. Camera access tile must be available and ON by default

1. Camera access tile must switch to ""blocked""

2. A popup must be displayed, warning the user that the access to the camera is blocked with options to unblock or cancel

3. The app must NOT be able to use the camera while it is blocked, even if the photo/video is taken, only a black image is seen

4. No camera access indicator must be displayed on status bar

5. A popup must be displayed, warning the user that the access to the camera is blocked with options to unblock or cancel

6. All apps can now access the camera and no issues are seen. Photo and videos taken looks normal

7. Camera usage indicator is seen on status barwhile the app is accessing the camera",Settings,Permission,"3rd Party App,Camera,Security",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035487,"0. 2 or more 3rd party apps which uses microphone access are installed on DUT (e.g., Whatsapp, Instagram, Snapchat)","0. Check microphone access tile on Quick Settings

1. Tap on the microphone access tile to block the microphone for all apps

2. Open all 3rd party apps which uses microphone access and try to use it

3. Choose ""Cancel"" and try to use the microphone on the app

4. Check if there is an indicator of microphone usage on status bar

5. Restart all apps and try to access the microphone

6. Choose ""Unblock"" and try to use the microphoneon the app

7. Check if there is an indicator of microphone usage on status bar","0. Microphone access tile must be available and ON by default

1. Microphone access tile must switch to ""blocked""

2. User must be warned that the access to the microphone is blocked a popup must be displayed with options to unblock or cancel

3. The app must NOT be able to use the microphone while it is blocked, even if the audio is recorded, it must be mute.

4. No microphone access indicator must be displayed on status bar

5. User must be warned that the access to the microphone is blocked a popup must be displayed with options to unblock or cancel

6. All apps can now access the microphone and no issues are seen. Photo and videos taken looks normal

7. Microphone usage indicator is seen on status barwhile the app is accessing the microphone",Settings,Permission,"3rd Party App,Security",Android_S Core_Reg common_validation_reg execute_local_non_network product_validation_reg
MCA-3035489,"0. - Google Account is added
- Google Assistant training is completed","0. Trigger Google Assistant saying ""OK Google"" and use some voice commands

1. On quick settings, block microphone access

2. Trigger Google Assistant saying ""OK Google"" and use some voice commands

3. Trigger Google Assistant manually (e.g., gesture, GA button, shortcuts) and use some voice commands

4. On quick settings, allow microphone access and trigger Google Assistant","0. GA is trigged and command is answered accordingly 

1. Microphone is blocked

2. GA is not triggered

3. GA is triggered but it can not hear the commands

4. GA is trigged and command is answered accordingly",Settings,Permission,"Assistant,Security",Android_S GMS_Reg common_validation_reg execute_local_non_network product_validation_reg
MCA-3035539,"0. - Wired headset with microphone is connected to DUT
- A video conference app is installed on DUT and Support(e.g., Google Meet, Skype, Zoom)
- Microphone access is blocked on quick settings","0. On the video conference app, enter a meeting/room

1. While in the meeting, block microphone access on quick settings

2. While in the call, allow microphone access on quick settings","0. All participants in the meeting can hear eachother

1. DUT audio must not be heard on the meeting

2. DUT audio is reestablished and others participants can hear the DUT",Settings,Permission,"Accessories,Security",Android_S Core_Reg common_validation_reg execute_local_non_network product_validation_reg
MCA-3035540,0. - Microphone access is allowed on quick settings,"0. Start screen recording and swap between all audio mode on screen recording settings (Microphone, System Audio, Microphone + System audio, Mute, etc..)

1. Stop screen recording and check the video

2. Block microphone access on quick settings

3. Start screen recording and swap between all audio mode on screen recording settings (Microphone, System Audio, Microphone + System audio, Mute, etc..)

4. Choose ""Cancel"" on the microphone access popup if available, otherwise, just dismiss the notification.
5. Stop screen recording and check the video","0. Recording works as expected and no issues are seen

1. Recording is stopped and saved. Audio from the microphone is captured on the recording during the intervals where audio mode includes microphone.

2. Microphone access is blocked

3. When swapping to an option with microphone included, a popup (or notification) is seen warning the user about the access block and with options to unblock or cancel
4. Microphone access continues blocked

5. Audio from the microphone is not captured on the recording",Settings,Permission,"Screen Recorder,Security",Android_S Core_Reg common_validation_reg execute_local_non_network product_validation_reg
MCA-3035541,"0. Camera access toggle is ON on quick settings

Note: TC is applicable only for Android 12 NPI, upgrades will not support this feature according with https://idart.mot.com/browse/IKSWS-11460?focusedCommentId=11537022&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-11537022","0. Open the camera app and take a few pictures

1. With the camera app still open, block camera access on quick settings

2. With the camera app still open, allow camera access on quick settings

3. Start recording a video 

4. While recording a video, block camera access on quick settings

5. Check the video recorded","0. Pictures are taken and camera image is displayed on viewfinder

1. Viewfinder goes black and no image can be seen, pictures taken are all black

2. Viewfinder image goes back to normal, and no issue is seen with the pictures taken

3. The recording continues and viewfinder goes back to normal

4. The recording continues but viewfinder goes black
5. Video image is all black during for the interval where camera access was blocked",Settings,Permission,"Camera,Security",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035542,0. Microphone access toggle is ON on quick settings,"0. Make a call to a support phone

1. While in the call, block microphone access on quick settings

2. While in the call, allow microphone access on quick settings","0. Call is established and audio is clear on both sides

1. Support phone can no longer hear the DUT, DUT can still hear the support phone

2. Support can hear the DUT again and audio is clear",Settings,Permission,"Call,Security",Android_S Core_Reg common_validation_reg execute_local_network_brazil execute_local_network_china execute_local_network_india product_validation_reg
MCA-3035543,"0. Camera and Microphone access toggle are ON on quick settings

Note: TC is applicable only for Android 12 NPI, upgrades will not support this feature according with https://idart.mot.com/browse/IKSWS-11460?focusedCommentId=11537022&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-11537022","0. Open the camera app and start recording a video 

1. With the camera app still open, block microphone access on quick settings

2. Stop the video recording and check the image and audio

3. Take a few pictures

4. With the camera app still open, allow microphone access on quick settings

5. Record a video and check the audio","0. Video is being recorded and no issues are seen

1. Camera viewfinder is not affected and video continues to be recorded. From this point no audio should be captured

2. Video image is not affected, the audio is normal on the beginning and the remaining video after the microphone access was blocked is mute.

3. Pictures are taken and camera image is displayed on viewfinder

4. Microphone access is unblocked

5. Video is recorded with no issues, image and audio are both captured",Settings,Permission,"Camera,Security",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035544,"0. - TC not applicable for S Upgrade projects.

Camera and Microphone access toggle are ON on quick settings
","0. Make a call to a support phone

1. While in the call, block camera access on quick settings

2. While in the call, allow camera access on quick settings","0. Call is established and audio is clear on both sides

1. Call is not affected

2. Call is not affected",Settings,Permission,"Call,Camera,Security",Android_S Core_Reg Plat_Reg common_validation_reg execute_local_network_brazil execute_local_network_china execute_local_network_india product_validation_reg
MCA-3035547,,"0. Use a few apps that access different permissions on the phone 

1. Open the Privacy Dashboard and check if the list of apps that accessed specific permissions

2. Check the duration for which apps accessed the permission under the app's name","0. Apps are able to access permission

1. Privacy Dashboard lists all apps that accessed specific permissions

2. The duration of permission access used for each app is accurate",Settings,Permission,Settings,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035548,"0. - DUT is flashed on base build 
- OTA upgrade campaign is ready to be downloaded
- Use a few apps that access different permissions on the phone 
- TC only applicable for T upgrades onwards","0.  - Open the Privacy Dashboard and check if the list of apps that accessed specific permissions is correct
 - Check app access timelines for location, camera, and microphone permissions
1. Upgrade the DUT to the target build


2. Repeat step 1 checking userdata retention and functionality","0. New configurations are set and working as expected

1. DUT is upgraded to target build, no crashes or abnormal behaviors are seen

2. Userdata is retained, functionality is still the same as in base build",Settings,Permission,"Data Migration,Settings",Android_S Android_T Core_Data_Migration common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035549,,"0. Access location, camera and microphone a few times on different apps, alternating them

1. On Privacy Dashboard, check location access timeline

2. On Privacy Dashboard, check camera access timeline

3. On Privacy Dashboard, check microphone access timeline

4. On location, camera or microphone timeline, tap on ""Manage permissions"" button","0. Apps are able to access permission

1. Location access timeline is accurate and all apps that accessed location are listed

2. Camera access timeline is accurate and all apps that accessed the camera are listed

3. Microphone access timeline is accurate and all apps that accessed the microphone are listed

4. Permission manager opens and user is able to revoke or grant permissions to the apps",Settings,Permission,Settings,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035554,"0. - Have a Wi-Fi AP connected
- Add a google account on DUT
- Bluetooth an location are ON 
- Have a device support available with nearby share supported","0. Go to Internet settings and Tap on WiFi AP connected

1. Tap on share icon

2. Tap on Nearby icon

3. Tap on change on Device visibility field and choose Some Contacts option. Save the choice

4. Tap on Turn on button 

5. On support device check Nearby share notification and tap on it","0. Network details is opened to Wi-Fi AP connected 

1. Share Wi-Fi screen is redirectioned and QR Code is displayed with Nearby option. Wi-Fi password is seen below QR code

2. ""Turn on Nearby share"" quick task is opened on bottom of the screen. The follows field/buttons are seen: Device name, Device visibility, Cancel and Turn on buttons

3. Device visibility screen is redirectioned and the user can choose the follow options : All contacts, Some contacts and Hidden. Saving the choice, ""Turn on Nearby share"" quick task is shown

4. Looking for nearby devices is displayed. 

5. On support side, Nearby share quick task is displayed and It is possible to share wifi password",WiFi,WiFi,"Location,WiSL - BT,WiSL - Wifi",Android_S Core_Reg Plat_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035562,"0. - DUT is flashed on base build 
- OTA upgrade campaign is ready to be downloaded
- TC is only applicable from Android T upgrade onwards
- Location ON.","0. 1. Open Maps, choose ""Precise"" as location method.
2. Check ""Use precise location"" on Maps permissions.


1. Upgrade the DUT to the target build

2. Repeat step 1 checking userdata retention and functionality","0. 1. Maps use precise location and can show actual location.
2. ""Use precise location"" is enabled.

1. DUT is upgraded to target build, no crashes or abnormal behaviors are seen

2. Userdata is retained, functionality is still the same as in base build",WiSL,LBS,"Data Migration,Location,Settings",Android_S Android_T Android_T_updated Core_Data_Migration common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035563,"0. - DUT is flashed on base build 
- OTA upgrade campaign is ready to be downloaded
- TC is only applicable from Android R to S upgrade
- Location ON.","0. 1. Open Maps, grant location access for app.
2. Pin current location.
3. Check location permission on Maps app info.
4. Open Camera and don't allow location access.
5. Check ""Save location"" on camera settings.
6. Check location permission on Camera app info.

1. Upgrade the DUT to the target build

2. Check if device can get current location.

3. Back to location permission on Maps app info.

4. Back to location permission on Camera app info.","0. 1. Maps can access location.
2. Current location is shown
3. Location permission is enabled for Maps.
4. Camera can't access location.
5. Save location is disabled.
6. Location permission is denied for Camera.
1. DUT is upgraded to target build, no crashes or abnormal behaviors are seen

2. Maps still can show current location.

3. Location permission still enabled, ""Precise location"" toggle MUST be displayed and its status MUST be ENABLED.

4. Location permission still disabled, ""Precise location"" toggle MUST be NOT displayed.",WiSL,LBS,"Data Migration,Location,Settings",Android_S China_Data_Migration Core_Data_Migration common_refactored common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035564,"0. - DUT is flashed on base build 
- OTA upgrade campaign is ready to be downloaded
- TC is only applicable from Android T upgrade onwards","0.  Open Maps, choose ""Approximate"" as location method.

1. Check ""Use precise location"" on Maps permissions.

2. Upgrade the DUT to the target build

3. Open Maps and check if phone can get location.
4. Check ""Use precise location"" on Maps permissions.
","0. Maps use and shows an approximate location.

1. ""Use precise location"" is OFF.

2. DUT is upgraded to target build, no crashes or abnormal behaviors are seen

3. Maps points the correct approximate location.
4. Precise location was retained and still OFF.
",WiSL,LBS,"Data Migration,Location,Settings",Android_S Android_T Android_T_updated Core_Data_Migration common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035568,"0. Location ON.
When open Camera for the first time or after clear storage data.
Select ""Precise"" and ""While using the app"" options when it asks to access location permission.","0. Take a photo and click on photo preview. Swipe up photo to access more info.

1. Click on photo location.

2. Go to app Camera app info and verify ""Use precise location"" toggle in location permission.

3. Go to app info > Force close and also close Camera on Recent apps.

4. Open Camera and take another photo. Swipe up photo to access more info.","0. Photo is saved and location is displayed. 

1. Map will show the exact location where photo was taken. 

2. Toggle must be enabled. 

3. Camera is closed and dismissed from Recent apps. 

4. Photo is saved and location is displayed.",WiSL,LBS,"Camera,Location",Android_S Core_Reg common_refactored common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035569,"0. Location ON.
When open Camera for the first time or after clear storage data.
Select ""Precise"" and ""Only this time"" options when it asks to access location permission.","0. Take a photo and click on photo preview. Swipe up photo to access more info.

1. Click on photo location.

2. Go to Camera app info and verify ""Use precise location"" toggle in location permission.

3. Go to app info > Force close and also close Camera on Recent apps.

4. Open Camera, take another photo and click photo preview. Swipe up photo to access more info.

5. Go to Camera settings and enable Save location, choose ""Precise"" and ""Only this time"". 

6. Take another photo and check its location.","0. Photo is saved and location is displayed. 

1. Map will show the exact location where photo was taken. 

2. Toggle must be enabled. 

3. Camera is closed and dismissed from Recent apps. 

4. Photo is saved and location is NOT displayed. 

5. ""Photo and video location will be saved"" message is displayed. 

6. Photo is saved and location is displayed.",WiSL,LBS,"Camera,Location",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035570,"0. Location ON.
When open Camera for the first time or after clear storage data.
Select ""Precise"" and ""Don't allow"" options when it asks to access location permission.","0. Take a photo and click on photo preview. Swipe up photo to access more info. 

1. Go to app info > Permissions > Location > and verify ""Use precise location"" toggle. 

2. Go to app info > Force close and also close Camera on Recent apps. 

3. Open Camera and take another photo. Click on photo preview and swipe up photo to access more info. 

4. Go to Camera settings and enable ""Save location"". 

5. Take another photo.","0. Photo is saved and location is NOT displayed/saved. 

1. Toggle is not available. 

2. Camera is closed and dismissed from Recent apps. 

3. Photo is saved and location is NOT displayed/saved. 

4. User will receive an alert to grant location permission on app info. 

5. Photo is saved and location is NOT displayed/saved.",WiSL,LBS,"Camera,Location",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035577,"0. Location OFF.
When open Maps for the first time or after clear storage data.","0. Open Maps and try to get location. Choose ""Precise"" and ""While using the app"" options. 

1. Go to app info > Permissions > Location. 

2. Turn ""Use precise location"" OFF. 

3. Back to Maps and try to get location. Choose ""Change to precise location"". 

4. Go to app info > Permissions > Location.","0. Maps will ask to enable location. Choose ""No thanks"". 

1. ""Use precise location"" is available and can be turned OFF/ON. 

2. ""Use precise location"" turned OFF. 

3. Maps will ask to enable location. Choose ""No thanks"". 

4. ""Use precise location"" is available and enabled again.",WiSL,LBS,"GMS,Location",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035578,"0. Location OFF.
When open Maps for the first time or after clear storage data.","0. Open Maps and try to get location. Choose ""Approximate"" and ""While using the app"" options. 

1. Go to app info > Permissions > Location. 

2. Back to Maps and try to get location. Choose ""Keep approximate location"". 

3. Go to app info > Permissions > Location.","0. Maps will NOT get location. 

1. ""Use precise location"" is available and its status is OFF. 

2. Maps will NOT get location. 

3. ""Use precise location"" is available and its status is OFF.",WiSL,LBS,"GMS,Location",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035579,0. Have notifications on notification curtain,"0. Discharge the DUT until battery is low (below 15%) and Battery Saver is turned ON

1. Under notification curtain tap on notification to open the app","0. Battery must be low and no issues must be seen

1. App is opened after tapping on notification curtain",User Experience,Notification,UX,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035588,,"0. Launch app info of any app.

1. Tap on Battery.

2. Check Unrestricted, Optimized and Restricted are selectable.","0. App info of selected app is launched.

1. Battery settings for this apps is shown.

2. All options are selectable, however, not possible to select more than one.",Settings,Settings,"Kernel&BSP,Power Manager,Settings,UX",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035591,"0. - DUT is flashed on base build 
- OTA upgrade campaign is ready to be downloaded
- Wallpaper is set on DUT
- TC only applicable for T upgrades onwards","0. Add a conversations widget on home screen, and then:
 - Receive a SMS and check conversations widget 
 - Receive a MMS and check conversations widget 
 - Resize the conversations widget

1. Upgrade the DUT to the target build

2. Repeat step 1 checking userdata retention and functionality","0. Conversation widget is set and working as expected

1. DUT is upgraded to target build, no crashes or abnormal behaviors are seen

2. Userdata is retained, functionality is still the same as in base build",User Experience,Home,"Data Migration,Home(launcher)",Android_S Android_T Android_T_updated Core_Data_Migration common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india product_validation_reg
MCA-3035592,"0. - System navigation is set to gesture navigation
- There are photos stored in camera roll","0. Open Photos app and go to Camera folder

1. Open a photo and then single tap on it

2. Do back gesture swiping left to right or right to left","0. Photos app is launched and Camera folder is opened

1. Photo go to immersive view which means all options are hidden

2. It doesn't go to another photo but DUT goes back to Camera folder",Google Experience,Gestures,"Display,GMS,UX",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035593,"0. - System navigation is set to gesture navigation
- There are photos stored in camera roll","0. Open Photos app and go to Camera folder

1. Open a photo and then single tap on it

2. Do home gesture swipping from bottom of the screen","0. Photos app is launched and Camera folder is opened

1. Photo go to immersive view which means all options are hidden

2. It doesn't launch photo options but DUT goes to home screen",Google Experience,Gestures,"Display,GMS,UX",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035595,"0. - System navigation is set to gesture navigation
- There are photos stored in camera roll
- Bettery level is lower than 100%","0. Plug charger to DUT

1. Open Photos app and go to Camera folder

2. Open a photo and then single tap on it

3. Do home gesture swipping from bottom of the screen","0. DUT starts charging

1. Photos app is launched and Camera folder is opened

2. Photo go to immersive view which means all options are hidden

3. It doesn't launch photo options but DUT goes to home screen",Google Experience,Gestures,"Display,GMS,UX",Android_S Core_Reg Plat_Reg common_validation_reg execute_local_non_network
MCA-3035610,"0. Enable Magnification shortcut, Choose ""Tap accessibility button"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify full screen""

1. Tap on Magnification shortcut 

2. Tap on Magnification shortcut again

3. Watch a video/movie and tap on magnification shortcut 

4. Tap on Magnification shortcut","0. Must be possible to set Magnification type to ""Magnify full screen"" without issue

1. After tapping on Magnification shortcut, magnification feature is activated in full screen and must be possible to zoom in/out using 2 fingers 

2. After tapping on Magnification shortcut, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After tapping on Magnification shortcut, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg Plat_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035611,"0. Enable Magnification shortcut, Choose ""Tap accessibility button"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify part of screen""

1. Tap on Magnification shortcut 

2. Tap on Magnification shortcut again

3. Watch a video/movie and tap on magnification shortcut 

4. Tap on Magnification shortcut","0. Must be possible to set Magnification type to ""Magnify part screen"" without issue

1. After tapping on Magnification shortcut, magnification feature is activated in part of screen (a litlle square is shown) and must be possible to move the square in all screen using 2 fingers or tapping on finger icon placed on square. The Zoom in/out can be realized using 2 fingers as a pinch.

2. After tapping on Magnification shortcut, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers. The Zoom in/out can be realized using 2 fingers as a pinch. 

4. After tapping on Magnification shortcut, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_local_non_network
MCA-3035612,"0. Enable Magnification shortcut, Choose ""Tap accessibility button"" option","0. Go to accessibility settings and Set Magnification type to ""Switch between full and partial screen""

1. Tap on Magnification shortcut 

2. Tap on Magnification shortcut again

3. Watch a video/movie and tap on magnification shortcut 

4. Tap on Magnification shortcut","0. Must be possible to set Magnification type to ""Switch between full and partial screen"" without issue

1. After tapping on Magnification shortcut, magnification feature is activated in Switch between full and partial screen (a litlle square and a expansion icon are seen). Must be possible to use part of screen function and full mode screen (tapping on expansion icon), no issue must happen

2. After tapping on Magnification shortcut, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After tapping on Magnification shortcut, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_local_non_network
MCA-3035613,"0. Enable Magnification shortcut, Choose ""Hold volume keys"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify full screen""

1. Hold volume keys

2. Hold volume keys again

3. Watch a video/movie and tap on magnification shortcut 

4. Hold volume keys","0. Must be possible to set Magnification type to ""Magnify full screen"" without issue

1. After holding on volume keys, magnification feature is activated in full screen and must be possible to zoom in/out using 2 fingers 

2. After holding on volume keys, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After holding on volume keys, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg Plat_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035614,"0. Enable Magnification shortcut, Choose ""Hold volume keys"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify part of screen""

1. Hold volume keys

2. Hold volume keys again

3. Watch a video/movie and tap on magnification shortcut 

4. Hold volume keys","0. Must be possible to set Magnification type to ""Magnify part screen"" without issue

1. After holding on volume keys, magnification feature is activated in part of screen (a litlle square is shown) and must be possible to move the square in all screen using 2 fingers or tapping on finger icon placed on square. The Zoom in/out can be realized using 2 fingers as a pinch.

2. After holding on volume keys, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After holding on volume keys, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035615,"0. Enable Magnification shortcut, Choose ""Hold volume keys"" option","0. Go to accessibility settings and Set Magnification type to ""Switch between full and partial screen""

1. Hold volume keys

2. Hold volume keys again

3. Watch a video/movie and tap on magnification shortcut 

4. Hold volume keys","0. Must be possible to set Magnification type to ""Switch between full and partial screen"" without issue

1. After holding on volume keys, magnification feature is activated in Switch between full and partial screen (a litlle square and an expansion icon are seen). Must be possible to use part of screen function and full mode screen (tapping on expansion icon), no issue must happen

2. After holding on volume keys, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After holding on volume keys, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_local_non_network product_validation_reg
MCA-3035616,"0. Enable Magnification shortcut, Choose ""triple tap screen"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify full screen""

1. Make a triple tap on screen

2. Make a triple tap on screen again

3. Watch a video/movie and tap on magnification shortcut 

4. Make a triple tap on screen","0. Must be possible to set Magnification type to ""Magnify full screen"" without issue

1. After making a triple tap on screen, magnification feature is activated in full screen and must be possible to zoom in/out using 2 fingers 

2. After making a triple tap on screen, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers 

4. After making a triple tap on screen, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035617,"0. Enable Magnification shortcut, Choose ""triple tap screen"" option","0. Go to accessibility settings and Set Magnification type to ""Magnify part of screen""

1. Make a triple tap on screen

2. Make a triple tap on screen again

3. Watch a video/movie and tap on magnification shortcut 

4. Make a triple tap on screen","0. Must be possible to set Magnification type to ""Magnify part screen"" without issue

1. After making a triple tap on screen, magnification feature is activated in part of screen (a litlle square is shown) and must be possible to move the square in all screen using 2 fingers or tapping on finger icon placed on square. The Zoom in/out can be realized using 2 fingers as a pinch

2. After making a triple tap on screen, magnification feature is stopped

3. Magnification feature is activated in full screen and must be possible to zoom in/out and move around screen using 2 fingers. The Zoom in/out can be realized using 2 fingers as a pinch 

4. After making a triple tap on screen, magnification feature is stopped",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035618,"0. - Battery is low, less than 15%
- Enable battery saver mode
- Enable Magnification shortcut. Choose any option available (""Triple-tap screen"" or ""Hold volume keys"" or ""Tap accessibility button"")","0. Go to accessibility settings and Set Magnification type to ""Switch between full and partial screen""

1. Enable magnification feature using the shortcut set on initial setup

2. Disable magnification feature using the shortcut set on initial setup","0. Must be possible to set Magnification type to ""Switch between full and partial screen"" without issue

1. Magnification feature is activated in Switch between full and partial screen (a litlle square and an expansion icon are seen). Must be possible to use part of screen function and full mode screen (tapping on expansion icon), no issue must happen. Battery saver does not impact the feature 

2. Magnification feature must be stopped",Settings,Accessibility,"Accessibility,Power Manager",Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035619,0. Set font and display to non default value,"0. Under accessibility, Go to Text and display and enable Bold text

1. Check apps tray, settings, apps and others","0. When bold text is activated, the text must be shown in bold

1. All screens must be in bold text and with font and display set previous, no issues must be seen",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
MCA-3035620,,"0. Under accessibility, Go to Text and display and enable Bold text

1. Check apps tray, settings, apps and others 

2. Reboot the DUT and check Bold text","0. When bold text is activated, the text must be shown in bold

1. All screens must be in bold 

2. DUT can be rebooted and bold text must keep ON under accessibility settings. All screens are with bold text",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network product_validation_reg
MCA-3035621,"0. Under Accessibiliy, Go to Accessibility menu and Enable ""Accessibility Menu shortcut"" toggle","0. Watch a video from any app

1. Tap on accessibility menu shortcut

2. Tap on each of the buttons placed on floating","0. Video can be played without issue

1. Accessibility menu floating must be shown on bottom of the screen

2. Each button works properly, no crashes or abnormal behavior is seen while watching a video",Settings,Accessibility,Accessibility,Android_S Core_Reg common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_non_network
